,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,200.0,11.0,56,job__14_811120__200_000000__11_0,14537167,-3.69427114,95.1863260706236,-3.69037114,14.811120005160475,0.02652849
1,0.2,1,-5,200.0,11.0,56,job__14_975688__200_000000__11_0,14537168,-3.70450399,96.17806160781367,-3.70060399,14.975687943223765,0.0261110599999998
2,0.2,1,-5,200.0,11.0,56,job__15_140256__200_000000__11_0,14537169,-3.71341023,97.02554470323064,-3.70951023,15.1402559281593,0.0257190399999998
3,0.2,1,-5,200.0,11.0,56,job__15_304824__200_000000__11_0,14537170,-3.72105562,98.32381667918858,-3.71715562,15.304824014040012,0.0253572499999998
4,0.2,1,-5,200.0,11.0,56,job__15_469392__200_000000__11_0,14537171,-3.72747653,99.572501878287,-3.72357653,15.46939195324227,0.02502366
5,0.2,1,-5,200.0,11.0,56,job__15_633960__200_000000__11_0,14537172,-3.73274218,100.49812171299774,-3.72884218,15.633960106125867,0.0247111100000001
6,0.2,1,-5,200.0,11.0,56,job__15_798528__200_000000__11_0,14537173,-3.73689526,101.58001502629602,-3.73299526,15.7985280109301,0.0244228400000001
7,0.2,1,-5,200.0,11.0,56,job__15_963096__200_000000__11_0,14537174,-3.73999894,102.31930879038318,-3.73609894,15.963096009423694,0.0241566500000001
8,0.2,1,-5,200.0,11.0,56,job__16_127664__200_000000__11_0,14537175,-3.74219263,103.58151765589784,-3.73829263,16.127664046770466,0.0239040400000001
9,0.2,1,-5,200.0,11.0,56,job__16_292232__200_000000__11_0,14537176,-3.74359849,104.83471074380164,-3.73969849,16.292231879585028,0.0100544099999999
10,0.2,1,-5,200.0,11.0,56,job__16_456800__200_000000__11_0,14537177,-3.74408293,105.664162283997,-3.74018293,16.456800027713822,0.0234487700000003
11,0.2,1,-5,200.0,11.0,56,job__16_621368__200_000000__11_0,14537178,-3.743684,106.69196093163036,-3.739784,16.621368057364204,0.0232382000000002
12,0.2,1,-5,200.0,11.0,56,job__16_785936__200_000000__11_0,14537179,-3.74250327,107.79188580015028,-3.73860327,16.785936017329465,0.0230425200000001
13,0.2,1,-5,200.0,11.0,56,job__16_950504__200_000000__11_0,14537180,-3.74062125,109.10818933132984,-3.73672125,16.95050393855773,0.0228573900000004
14,0.2,1,-5,200.0,11.0,56,job__17_115072__200_000000__11_0,14537181,-3.73804422,109.99173553719008,-3.73414422,17.11507206741567,0.0226751800000002
15,0.2,1,-5,200.0,11.0,56,job__17_279640__200_000000__11_0,14537182,-3.73482287,111.10217881292262,-3.73092287,17.27964009818471,0.0225043400000002
16,0.2,1,-5,200.0,11.0,56,job__17_444208__200_000000__11_0,14537183,-3.73096475,111.93163035311797,-3.72706475,17.44420790217213,0.0223416899999997
17,0.2,1,-5,200.0,11.0,56,job__17_608776__200_000000__11_0,14537184,-3.72658405,113.10368144252442,-3.72268405,17.608776029999344,0.0094275800000001
18,0.2,1,-5,200.0,11.0,56,job__17_773344__200_000000__11_0,14537185,-3.72167532,114.0954169797145,-3.71777532,17.7733439162409,0.02204139
19,0.2,1,-5,200.0,11.0,56,job__17_937912__200_000000__11_0,14537186,-3.71626754,115.35762584522917,-3.71236754,17.937911902437854,0.0218953499999998
20,0.2,1,-5,200.0,11.0,56,job__18_102480__200_000000__11_0,14537187,-3.71040022,116.34936138241925,-3.70650022,18.102479948783508,0.0217858899999998
21,0.2,1,-5,220.0,11.0,56,job__14_811120__220_000000__11_0,14537188,-3.69580128,109.45078888054094,-3.69230128,14.811120005160475,0.0264988800000001
22,0.2,1,-5,220.0,11.0,56,job__14_975688__220_000000__11_0,14537189,-3.70599325,111.10217881292262,-3.70249325,14.975687943223765,0.0260825399999999
23,0.2,1,-5,220.0,11.0,56,job__15_140256__220_000000__11_0,14537190,-3.71478052,112.03981968444778,-3.71128052,15.1402559281593,0.0256973799999999
24,0.2,1,-5,220.0,11.0,56,job__15_304824__220_000000__11_0,14537191,-3.72237331,113.4282494365139,-3.71887331,15.304824014040012,0.0253434499999998
25,0.2,1,-5,220.0,11.0,56,job__15_469392__220_000000__11_0,14537192,-3.72874689,114.58226897069872,-3.72524689,15.46939195324227,0.0250146199999998
26,0.2,1,-5,220.0,11.0,56,job__15_633960__220_000000__11_0,14537193,-3.73401224,115.89857250187828,-3.73051224,15.633960106125867,0.0247052299999999
27,0.2,1,-5,220.0,11.0,56,job__15_798528__220_000000__11_0,14537194,-3.73817556,116.9984973703982,-3.73467556,15.7985280109301,0.0244169399999996
28,0.2,1,-5,220.0,11.0,56,job__15_963096__220_000000__11_0,14537195,-3.74131793,118.40495867768595,-3.73781793,15.963096009423694,0.02415088
29,0.2,1,-5,220.0,11.0,56,job__16_127664__220_000000__11_0,14537196,-3.74351316,119.5229151014275,-3.74001316,16.127664046770466,0.0101432599999999
30,0.2,1,-5,220.0,11.0,56,job__16_292232__220_000000__11_0,14537197,-3.74480784,120.7129977460556,-3.74130784,16.292231879585028,4.310000000007364e-06
31,0.2,1,-5,220.0,11.0,56,job__16_456800__220_000000__11_0,14537198,-3.74525934,121.78287002253944,-3.74175934,16.456800027713822,3.599999999881476e-06
32,0.2,1,-5,220.0,11.0,56,job__16_621368__220_000000__11_0,14537199,-3.74491613,123.1442524417731,-3.74141613,16.621368057364204,0.0232361199999999
33,0.2,1,-5,220.0,11.0,56,job__16_785936__220_000000__11_0,14537200,-3.74381804,124.35687453042824,-3.74031804,16.785936017329465,0.02304269
34,0.2,1,-5,220.0,11.0,56,job__16_950504__220_000000__11_0,14537201,-3.74203231,125.83546205860256,-3.73853231,16.95050393855773,0.02285993
35,0.2,1,-5,220.0,11.0,56,job__17_115072__220_000000__11_0,14537202,-3.73950942,126.82719759579264,-3.73600942,17.11507206741567,0.0226822499999999
36,0.2,1,-5,220.0,11.0,56,job__17_279640__220_000000__11_0,14537203,-3.73635564,128.07137490608565,-3.73285564,17.27964009818471,0.0225129199999996
37,0.2,1,-5,220.0,11.0,56,job__17_444208__220_000000__11_0,14537204,-3.73256924,129.29752066115702,-3.72906924,17.44420790217213,0.0223551399999997
38,0.2,1,-5,220.0,11.0,56,job__17_608776__220_000000__11_0,14537205,-3.72819345,130.32531930879037,-3.72469345,17.608776029999344,0.0222034500000001
39,0.2,1,-5,220.0,11.0,56,job__17_773344__220_000000__11_0,14537206,-3.72338308,131.64162283996995,-3.71988308,17.7733439162409,0.02205718
40,0.2,1,-5,220.0,11.0,56,job__17_937912__220_000000__11_0,14537207,-3.71797206,132.86776859504133,-3.71447206,17.937911902437854,0.0219148499999999
41,0.2,1,-5,220.0,11.0,56,job__18_102480__220_000000__11_0,14537208,-3.71209447,133.82945154019535,-3.70859447,18.102479948783508,0.02180909
42,0.2,1,-5,240.0,11.0,56,job__14_811120__240_000000__11_0,14537209,-3.69709066,124.9519158527423,-3.69419066,14.811120005160475,0.02650664
43,0.2,1,-5,240.0,11.0,56,job__14_975688__240_000000__11_0,14537210,-3.70738042,126.59278737791136,-3.70448042,14.975687943223765,0.0260931000000002
