,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__14_946778__1200_000000__91_0,14536918,-3.71130372,1410.8416605734562,-3.71130372,14.946778037242009,0.0262780600000001
1,0.2,1,-5,1200.0,91.0,17296,job__15_112853__1200_000000__91_0,14536920,-3.72033747,1426.50887706666,-3.72033747,15.112853451471628,0.0258997299999999
2,0.2,1,-5,1200.0,91.0,17296,job__15_278929__1200_000000__91_0,14536922,-3.72808462,1442.190234231413,-3.72808462,15.278928678011104,0.0255476299999997
3,0.2,1,-5,1200.0,91.0,17296,job__15_445004__1200_000000__91_0,14536923,-3.73461503,1457.8728812547192,-3.73461503,15.445004167314424,0.0105988999999997
4,0.2,1,-5,1200.0,91.0,17296,job__15_611079__1200_000000__91_0,14536926,-3.73999422,1473.5393572735682,-3.73999422,15.611079371481903,0.0249202300000002
5,0.2,1,-5,1200.0,91.0,17296,job__15_777155__1200_000000__91_0,14536928,-3.74428416,1489.213516709109,-3.74428416,15.777154585369708,0.0246427000000002
6,0.2,1,-5,1200.0,91.0,17296,job__15_943230__1200_000000__91_0,14536930,-3.74754309,1504.8980427856168,-3.74754309,15.943229995027457,0.0243856599999996
7,0.2,1,-5,1200.0,91.0,17296,job__16_109305__1200_000000__91_0,14536931,-3.74982837,1520.563189135463,-3.74982837,16.109305409431283,0.0241459399999999
8,0.2,1,-5,1200.0,91.0,17296,job__16_275381__1200_000000__91_0,14536933,-3.751193,1536.2476913257012,-3.751193,16.275380710737416,0.0239229099999995
9,0.2,1,-5,1200.0,91.0,17296,job__16_441456__1200_000000__91_0,14536935,-3.7516879,1551.92342194697,-3.7516879,16.44145583581948,0.0237146800000003
10,0.2,1,-5,1200.0,91.0,17296,job__16_607531__1200_000000__91_0,14536939,-3.75136035,1567.5907817577906,-3.75136035,16.60753125,0.0098800899999997
11,0.2,1,-5,1200.0,91.0,17296,job__16_773607__1200_000000__91_0,14536942,-3.75025653,1583.2691133284056,-3.75025653,16.773606459151882,0.0233364699999998
12,0.2,1,-5,1200.0,91.0,17296,job__16_939682__1200_000000__91_0,14536944,-3.7484197,1598.9483817715916,-3.7484197,16.939681953301676,0.0231639500000002
13,0.2,1,-5,1200.0,91.0,17296,job__17_105757__1200_000000__91_0,14536947,-3.74589161,1614.6379558130554,-3.74589161,17.10575721381869,0.0230007099999998
14,0.2,1,-5,1200.0,91.0,17296,job__17_271832__1200_000000__91_0,14536948,-3.74271044,1630.2995988433738,-3.74271044,17.27183243090437,0.0095804799999998
15,0.2,1,-5,1200.0,91.0,17296,job__17_437908__1200_000000__91_0,14536951,-3.73891242,1645.9740289899692,-3.73891242,17.437907747684182,0.0227014999999997
16,0.2,1,-5,1200.0,91.0,17296,job__17_603983__1200_000000__91_0,14536953,-3.7345326,1661.6581808482545,-3.7345326,17.603983242532642,0.0225631599999998
17,0.2,1,-5,1200.0,91.0,17296,job__17_770058__1200_000000__91_0,14536956,-3.72960478,1677.3245692841151,-3.72960478,17.77005839674023,0.0224305799999999
18,0.2,1,-5,1200.0,91.0,17296,job__17_936134__1200_000000__91_0,14536959,-3.72416102,1693.0010536498885,-3.72416102,17.936133873999818,0.0223024400000002
19,0.2,1,-5,1200.0,91.0,17296,job__18_102209__1200_000000__91_0,14536962,-3.71823175,1708.6896324301226,-3.71823175,18.102208937228124,0.0221782399999996
20,0.2,1,-5,1200.0,91.0,17296,job__18_268284__1200_000000__91_0,14536965,-3.71184586,1724.3516894891125,-3.71184586,18.268284275394777,0.0220579899999999
21,0.2,1,-5,1200.0,91.0,17296,job__14_946778__1200_000000__91_0,14536918,-3.71130372,1410.8416605734562,-3.71130372,14.946778037242009,0.0262780600000001
22,0.2,1,-5,1200.0,91.0,17296,job__15_112853__1200_000000__91_0,14536920,-3.72033747,1426.50887706666,-3.72033747,15.112853451471628,0.0258997299999999
23,0.2,1,-5,1200.0,91.0,17296,job__15_278929__1200_000000__91_0,14536922,-3.72808462,1442.190234231413,-3.72808462,15.278928678011104,0.0255476299999997
24,0.2,1,-5,1200.0,91.0,17296,job__15_445004__1200_000000__91_0,14536923,-3.73461503,1457.8728812547192,-3.73461503,15.445004167314424,0.0105988999999997
25,0.2,1,-5,1200.0,91.0,17296,job__15_611079__1200_000000__91_0,14536926,-3.73999422,1473.5393572735682,-3.73999422,15.611079371481903,0.0249202300000002
26,0.2,1,-5,1200.0,91.0,17296,job__15_777155__1200_000000__91_0,14536928,-3.74428416,1489.213516709109,-3.74428416,15.777154585369708,0.0246427000000002
27,0.2,1,-5,1200.0,91.0,17296,job__15_943230__1200_000000__91_0,14536930,-3.74754309,1504.8980427856168,-3.74754309,15.943229995027457,0.0243856599999996
