,sigma,Au_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__15_281395__1200_000000__91_0,14536938,-2.36074678,1442.4175359720584,-2.35964678,15.281395093035924,0.0645889099999998
1,0.2,1,-5,1200.0,91.0,17296,job__15_451188__1200_000000__91_0,14536941,-2.39739506,1458.449113620349,-2.39629506,15.451188456072856,0.0051841499999998
2,0.2,1,-5,1200.0,91.0,17296,job__15_620982__1200_000000__91_0,14536943,-2.43040657,1474.4815909847912,-2.42930657,15.620981866607275,0.00528722
3,0.2,1,-5,1200.0,91.0,17296,job__15_790775__1200_000000__91_0,14536946,-2.46000946,1490.505126922347,-2.45890946,15.790775143636433,0.0053903499999998
4,0.2,1,-5,1200.0,91.0,17296,job__15_960568__1200_000000__91_0,14536949,-2.48641673,1506.5406325349568,-2.48531673,15.960568277356318,0.0600378499999996
5,0.2,1,-5,1200.0,91.0,17296,job__16_130362__1200_000000__91_0,14536950,-2.50982723,1522.5554738704118,-2.50872723,16.130361651088933,0.0055908900000001
6,0.2,1,-5,1200.0,91.0,17296,job__16_300155__1200_000000__91_0,14536952,-2.53042898,1538.5857298117894,-2.52932898,16.300154815518034,0.0056880000000001
7,0.2,1,-5,1200.0,91.0,17296,job__16_469948__1200_000000__91_0,14536954,-2.54839831,1554.610109730868,-2.54729831,16.46994814854365,0.0057818899999997
8,0.2,1,-5,1200.0,91.0,17296,job__16_639741__1200_000000__91_0,14536957,-2.5638987,1570.6357078496917,-2.5627987,16.639741383493234,1.199999997147927e-07
9,0.2,1,-5,1200.0,91.0,17296,job__16_809535__1200_000000__91_0,14536960,-2.57708348,1586.6686072048951,-2.57598348,16.809534805279746,0.0543217499999997
10,0.2,1,-5,1200.0,91.0,17296,job__16_979328__1200_000000__91_0,14536963,-2.58809379,1602.7029078879098,-2.58699379,16.979328000000002,0.0531982700000002
11,0.2,1,-5,1200.0,91.0,17296,job__17_149121__1200_000000__91_0,14536966,-2.5970681,1618.7105674183322,-2.5959681,17.1491213195672,0.05208564
12,0.2,1,-5,1200.0,91.0,17296,job__17_318915__1200_000000__91_0,14536968,-2.60413129,1634.7443824138668,-2.60303129,17.318914623187013,0.0509831799999997
13,0.2,1,-5,1200.0,91.0,17296,job__17_488708__1200_000000__91_0,14536970,-2.60940001,1650.7765811051645,-2.60830001,17.48870775183691,0.0498901700000002
14,0.2,1,-5,1200.0,91.0,17296,job__17_658501__1200_000000__91_0,14536973,-2.61298906,1666.8055312638091,-2.61188906,17.65850102277712,0.0488105700000001
15,0.2,1,-5,1200.0,91.0,17296,job__17_828294__1200_000000__91_0,14536975,-2.61500574,1682.83418682513,-2.61390574,17.828294454110434,0.0477425500000001
16,0.2,1,-5,1200.0,91.0,17296,job__17_998088__1200_000000__91_0,14536977,-2.61554938,1698.865350444749,-2.61444938,17.99808773863226,0.0466897400000001
17,0.2,1,-5,1200.0,91.0,17296,job__18_167881__1200_000000__91_0,14536981,-2.61471328,1714.8944598451903,-2.61361328,18.16788100153004,0.0456538399999999
18,0.2,1,-5,1200.0,91.0,17296,job__18_337674__1200_000000__91_0,14536984,-2.61258547,1730.9081785259782,-2.61148547,18.33767427332104,0.0446318200000002
19,0.2,1,-5,1200.0,91.0,17296,job__18_507468__1200_000000__91_0,14536988,-2.60924801,1746.936141385483,-2.60814801,18.507467472241604,0.0436307
20,0.2,1,-5,1200.0,91.0,17296,job__15_281395__1200_000000__91_0,14536938,-2.36074678,1442.4175359720584,-2.35964678,15.281395093035924,0.0645889099999998
21,0.2,1,-5,1200.0,91.0,17296,job__15_451188__1200_000000__91_0,14536941,-2.39739506,1458.449113620349,-2.39629506,15.451188456072856,0.0051841499999998
22,0.2,1,-5,1200.0,91.0,17296,job__15_620982__1200_000000__91_0,14536943,-2.43040657,1474.4815909847912,-2.42930657,15.620981866607275,0.00528722
23,0.2,1,-5,1200.0,91.0,17296,job__15_790775__1200_000000__91_0,14536946,-2.46000946,1490.505126922347,-2.45890946,15.790775143636433,0.0053903499999998
24,0.2,1,-5,1200.0,91.0,17296,job__15_960568__1200_000000__91_0,14536949,-2.48641673,1506.5406325349568,-2.48531673,15.960568277356318,0.0600378499999996
25,0.2,1,-5,1200.0,91.0,17296,job__16_130362__1200_000000__91_0,14536950,-2.50982723,1522.5554738704118,-2.50872723,16.130361651088933,0.0055908900000001
26,0.2,1,-5,1200.0,91.0,17296,job__16_300155__1200_000000__91_0,14536952,-2.53042898,1538.5857298117894,-2.52932898,16.300154815518034,0.0056880000000001
27,0.2,1,-5,1200.0,91.0,17296,job__16_469948__1200_000000__91_0,14536954,-2.54839831,1554.610109730868,-2.54729831,16.46994814854365,0.0057818899999997
28,0.2,1,-5,1200.0,91.0,17296,job__16_639741__1200_000000__91_0,14536957,-2.5638987,1570.6357078496917,-2.5627987,16.639741383493234,1.199999997147927e-07
29,0.2,1,-5,1200.0,91.0,17296,job__16_809535__1200_000000__91_0,14536960,-2.57708348,1586.6686072048951,-2.57598348,16.809534805279746,0.0543217499999997
30,0.2,1,-5,1200.0,91.0,17296,job__16_979328__1200_000000__91_0,14536963,-2.58809379,1602.7029078879098,-2.58699379,16.979328000000002,0.0531982700000002
31,0.2,1,-5,1200.0,91.0,17296,job__17_149121__1200_000000__91_0,14536966,-2.5970681,1618.7105674183322,-2.5959681,17.1491213195672,0.05208564
32,0.2,1,-5,1200.0,91.0,17296,job__17_318915__1200_000000__91_0,14536968,-2.60413129,1634.7443824138668,-2.60303129,17.318914623187013,0.0509831799999997
33,0.2,1,-5,1200.0,91.0,17296,job__17_488708__1200_000000__91_0,14536970,-2.60940001,1650.7765811051645,-2.60830001,17.48870775183691,0.0498901700000002
34,0.2,1,-5,1200.0,91.0,17296,job__17_658501__1200_000000__91_0,14536973,-2.61298906,1666.8055312638091,-2.61188906,17.65850102277712,0.0488105700000001
35,0.2,1,-5,1200.0,91.0,17296,job__17_828294__1200_000000__91_0,14536975,-2.61500574,1682.83418682513,-2.61390574,17.828294454110434,0.0477425500000001
36,0.2,1,-5,1200.0,91.0,17296,job__17_998088__1200_000000__91_0,14536977,-2.61554938,1698.865350444749,-2.61444938,17.99808773863226,0.0466897400000001
37,0.2,1,-5,1200.0,91.0,17296,job__18_167881__1200_000000__91_0,14536981,-2.61471328,1714.8944598451903,-2.61361328,18.16788100153004,0.0456538399999999
38,0.2,1,-5,1200.0,91.0,17296,job__18_337674__1200_000000__91_0,14536984,-2.61258547,1730.9081785259782,-2.61148547,18.33767427332104,0.0446318200000002
39,0.2,1,-5,1200.0,91.0,17296,job__18_507468__1200_000000__91_0,14536988,-2.60924801,1746.936141385483,-2.60814801,18.507467472241604,0.0436307
40,0.2,1,-5,1200.0,91.0,17296,job__18_677261__1200_000000__91_0,14536991,-2.60477867,1762.9623525852242,-2.60367867,18.67726091890993,0.04264752999999999
