,sigma,Ca_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__40_394809__1200_000000__91_0,14536964,-6.84934544,3812.9169235546483,-6.84894544,40.39480847791811,0.017802520000000044
1,0.2,1,-5,1200.0,91.0,17296,job__40_829161__1200_000000__91_0,14536967,-6.85119994,3853.9108179587593,-6.85079994,40.82916117136744,0.017957870000000042
2,0.2,1,-5,1200.0,91.0,17296,job__41_697867__1200_000000__91_0,14536971,-6.85326012,3935.8967409839283,-6.85286012,41.69786665489161,0.01823253000000058
3,0.2,1,-5,1200.0,91.0,17296,job__43_000925__1200_000000__91_0,14536979,-6.85256954,4058.9140625103673,-6.85216954,43.0009253767543,0.01870822999999966
4,0.2,1,-5,1200.0,91.0,17296,job__43_435278__1200_000000__91_0,14536982,-6.85141624,4099.914231041269,-6.85101624,43.435278,0.018863490000000205
5,0.2,1,-5,1200.0,91.0,17296,job__43_869631__1200_000000__91_0,14536985,-6.84983476,4140.89060619371,-6.84943476,43.869630729109126,0.019025269999999317
6,0.2,1,-5,1200.0,91.0,17296,job__44_738336__1200_000000__91_0,14536990,-6.84546103,4222.874151208048,-6.84506103,44.7383363876631,0.019352409999999765
7,0.2,1,-5,1200.0,91.0,17296,job__45_172689__1200_000000__91_0,14536993,-6.84270376,4263.899891317474,-6.84230376,45.17268928020768,0.019542300000000346
8,0.2,1,-5,1200.0,91.0,17296,job__46_041395__1200_000000__91_0,14536998,-6.83613082,4345.88990154876,-6.83573082,46.04139445868901,0.01989316999999957
9,0.2,1,-5,1200.0,91.0,17296,job__46_475747__1200_000000__91_0,14537001,-6.83234624,4386.881882397279,-6.83194624,46.475747472831294,0.020084690000000016
10,0.2,1,-5,1200.0,91.0,17296,job__40_394809__1200_000000__91_0,14536964,-6.84934544,3812.9169235546483,-6.84894544,40.39480847791811,0.017802520000000044
11,0.2,1,-5,1200.0,91.0,17296,job__40_829161__1200_000000__91_0,14536967,-6.85119994,3853.9108179587593,-6.85079994,40.82916117136744,0.017957870000000042
12,0.2,1,-5,1200.0,91.0,17296,job__41_697867__1200_000000__91_0,14536971,-6.85326012,3935.8967409839283,-6.85286012,41.69786665489161,0.01823253000000058
13,0.2,1,-5,1200.0,91.0,17296,job__43_000925__1200_000000__91_0,14536979,-6.85256954,4058.9140625103673,-6.85216954,43.0009253767543,0.01870822999999966
14,0.2,1,-5,1200.0,91.0,17296,job__43_435278__1200_000000__91_0,14536982,-6.85141624,4099.914231041269,-6.85101624,43.435278,0.018863490000000205
15,0.2,1,-5,1200.0,91.0,17296,job__43_869631__1200_000000__91_0,14536985,-6.84983476,4140.89060619371,-6.84943476,43.869630729109126,0.019025269999999317
16,0.2,1,-5,1200.0,91.0,17296,job__44_738336__1200_000000__91_0,14536990,-6.84546103,4222.874151208048,-6.84506103,44.7383363876631,0.019352409999999765
17,0.2,1,-5,1200.0,91.0,17296,job__45_172689__1200_000000__91_0,14536993,-6.84270376,4263.899891317474,-6.84230376,45.17268928020768,0.019542300000000346
18,0.2,1,-5,1200.0,91.0,17296,job__46_041395__1200_000000__91_0,14536998,-6.83613082,4345.88990154876,-6.83573082,46.04139445868901,0.01989316999999957
19,0.2,1,-5,1200.0,91.0,17296,job__46_475747__1200_000000__91_0,14537001,-6.83234624,4386.881882397279,-6.83194624,46.475747472831294,0.020084690000000016
20,0.2,1,-5,1200.0,91.0,17296,job__47_344453__1200_000000__91_0,14537007,-6.82385423,4468.885635195622,-6.82345423,47.34445293420032,0.020486369999999532
