,sigma,Ca_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__40_394809__1200_000000__91_0,14536964,-6.84934544,3812.916923554648,-6.84894544,40.39480847791811,0.01780252
1,0.2,1,-5,1200.0,91.0,17296,job__40_829161__1200_000000__91_0,14536967,-6.85119994,3853.9108179587593,-6.85079994,40.82916117136744,0.01795787
2,0.2,1,-5,1200.0,91.0,17296,job__41_697867__1200_000000__91_0,14536971,-6.85326012,3935.896740983928,-6.85286012,41.69786665489161,0.0182325300000005
3,0.2,1,-5,1200.0,91.0,17296,job__43_000925__1200_000000__91_0,14536979,-6.85256954,4058.9140625103673,-6.85216954,43.0009253767543,0.0187082299999996
4,0.2,1,-5,1200.0,91.0,17296,job__43_435278__1200_000000__91_0,14536982,-6.85141624,4099.914231041269,-6.85101624,43.435278,0.0188634900000002
5,0.2,1,-5,1200.0,91.0,17296,job__43_869631__1200_000000__91_0,14536985,-6.84983476,4140.89060619371,-6.84943476,43.869630729109126,0.0190252699999993
6,0.2,1,-5,1200.0,91.0,17296,job__44_738336__1200_000000__91_0,14536990,-6.84546103,4222.874151208048,-6.84506103,44.7383363876631,0.0193524099999997
7,0.2,1,-5,1200.0,91.0,17296,job__45_172689__1200_000000__91_0,14536993,-6.84270376,4263.899891317474,-6.84230376,45.17268928020768,0.0195423000000003
8,0.2,1,-5,1200.0,91.0,17296,job__46_041395__1200_000000__91_0,14536998,-6.83613082,4345.88990154876,-6.83573082,46.04139445868901,0.0198931699999995
9,0.2,1,-5,1200.0,91.0,17296,job__46_475747__1200_000000__91_0,14537001,-6.83234624,4386.881882397279,-6.83194624,46.475747472831294,0.02008469
10,0.2,1,-5,1200.0,91.0,17296,job__40_394809__1200_000000__91_0,14536964,-6.84934544,3812.916923554648,-6.84894544,40.39480847791811,0.01780252
11,0.2,1,-5,1200.0,91.0,17296,job__40_829161__1200_000000__91_0,14536967,-6.85119994,3853.9108179587593,-6.85079994,40.82916117136744,0.01795787
12,0.2,1,-5,1200.0,91.0,17296,job__41_697867__1200_000000__91_0,14536971,-6.85326012,3935.896740983928,-6.85286012,41.69786665489161,0.0182325300000005
13,0.2,1,-5,1200.0,91.0,17296,job__43_000925__1200_000000__91_0,14536979,-6.85256954,4058.9140625103673,-6.85216954,43.0009253767543,0.0187082299999996
14,0.2,1,-5,1200.0,91.0,17296,job__43_435278__1200_000000__91_0,14536982,-6.85141624,4099.914231041269,-6.85101624,43.435278,0.0188634900000002
15,0.2,1,-5,1200.0,91.0,17296,job__43_869631__1200_000000__91_0,14536985,-6.84983476,4140.89060619371,-6.84943476,43.869630729109126,0.0190252699999993
16,0.2,1,-5,1200.0,91.0,17296,job__44_738336__1200_000000__91_0,14536990,-6.84546103,4222.874151208048,-6.84506103,44.7383363876631,0.0193524099999997
17,0.2,1,-5,1200.0,91.0,17296,job__45_172689__1200_000000__91_0,14536993,-6.84270376,4263.899891317474,-6.84230376,45.17268928020768,0.0195423000000003
18,0.2,1,-5,1200.0,91.0,17296,job__46_041395__1200_000000__91_0,14536998,-6.83613082,4345.88990154876,-6.83573082,46.04139445868901,0.0198931699999995
19,0.2,1,-5,1200.0,91.0,17296,job__46_475747__1200_000000__91_0,14537001,-6.83234624,4386.881882397279,-6.83194624,46.475747472831294,0.02008469
20,0.2,1,-5,1200.0,91.0,17296,job__47_344453__1200_000000__91_0,14537007,-6.82385423,4468.885635195622,-6.82345423,47.34445293420032,0.0204863699999995
21,0.2,1,-5,1200.0,91.0,17296,job__39_091750__1200_000000__91_0,14631628,-6.84019316,3689.8923724506385,-6.83979316,39.091750067226066,0.00018307000000028495
22,0.2,1,-5,1200.0,91.0,17296,job__39_526103__1200_000000__91_0,14631632,-6.84386765,3730.9249864976227,-6.84346765,39.526102880092616,0.00018516999999995676
23,0.2,1,-5,1200.0,91.0,17296,job__39_960456__1200_000000__91_0,14631637,-6.84690991,3771.9082117013527,-6.84650991,39.960455974242436,0.00018892000000025888
24,0.2,1,-5,1200.0,91.0,17296,job__41_263514__1200_000000__91_0,14631639,-6.85249716,3894.900213782112,-6.8520971600000005,41.263514224054546,0.018079719999999355
25,0.2,1,-5,1200.0,91.0,17296,job__42_132220__1200_000000__91_0,14631643,-6.85351206,3976.9001023128544,-6.85311206,42.132219435515644,0.0183660699999999
26,0.2,1,-5,1200.0,91.0,17296,job__42_566572__1200_000000__91_0,14631648,-6.85327472,4017.9047296140643,-6.85287472,42.5665722751192,0.018546739999999673
27,0.2,1,-5,1200.0,91.0,17296,job__44_303984__1200_000000__91_0,14631650,-6.84784383,4181.879970168703,-6.8474438300000005,44.30398357548884,0.01918867999999918
28,0.2,1,-5,1200.0,91.0,17296,job__45_607042__1200_000000__91_0,14631654,-6.83958846,4304.8855290344245,-6.83918846,45.60704211647075,0.01970092999999995
29,0.2,1,-5,1200.0,91.0,17296,job__46_910100__1200_000000__91_0,14631657,-6.82824934,4427.897489420373,-6.82784934,46.91010000712313,0.02027455999999983
30,0.2,1,-5,1200.0,91.0,17296,job__47_778806__1200_000000__91_0,14631659,-6.81917433,4509.879192537929,-6.81877433,47.778805694328256,0.020647559999999565
