,sigma,Cu_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,200.0,11.0,56,job__10_788840__200_000000__11_0,14518501,260.96870783,69.69872276483846,298.72990783,10.788840043144676,9.169999998448475e-05
1,0.2,1,-5,200.0,11.0,56,job__10_908716__200_000000__11_0,14518502,267.51643266,70.11344853493614,305.27763266,10.908716080582742,6.189999999151041e-05
2,0.2,1,-5,200.0,11.0,56,job__11_028592__200_000000__11_0,14518503,266.45092156,70.85274229902329,304.21212156,11.02859192202126,5.061000001660432e-05
3,0.2,1,-5,200.0,11.0,56,job__11_148468__200_000000__11_0,14518504,268.14675344,71.44778362133734,305.90795344000003,11.14846807761037,0.0010343899999725181
4,0.2,1,-5,200.0,11.0,56,job__11_268344__200_000000__11_0,14518505,263.49771444,72.39143501126972,301.25891444,11.26834401530571,0.0001413399999705689
5,0.2,1,-5,200.0,11.0,56,job__11_388220__200_000000__11_0,14518506,259.89139599,73.28399699474079,297.65259599,11.388220018438572,0.001456520000033379
6,0.2,1,-5,200.0,11.0,56,job__11_508096__200_000000__11_0,14518507,265.06686012,73.78888054094665,302.82806012000003,11.508096041609539,2.1469999978762644e-05
7,0.2,1,-5,200.0,11.0,56,job__11_627972__200_000000__11_0,14518508,263.7329654,74.60030052592036,301.49416540000004,11.627972070313696,0.00011016999997082166
8,0.2,1,-5,200.0,11.0,56,job__11_747848__200_000000__11_0,14518509,263.40074196,75.41172051089407,301.16194196000004,11.747847910787167,4.47999997277293e-06
9,0.2,1,-5,200.0,11.0,56,job__11_867724__200_000000__11_0,14518510,262.34184497,76.29526671675433,300.10304497000004,11.867723955280354,0.00015622000000803382
10,0.2,1,-5,200.0,11.0,56,job__11_987600__200_000000__11_0,14518511,263.19388118,77.12922614575507,300.95508118,11.987599999437174,0.004528680000021268
11,0.2,1,-5,200.0,11.0,56,job__12_107476__200_000000__11_0,14518512,265.48949033,77.85048835462058,303.25069033,12.107476005107518,7.763000002114495e-05
12,0.2,1,-5,200.0,11.0,56,job__12_227352__200_000000__11_0,14518513,269.78261671,78.4815927873779,307.54381671,12.227352092537338,2.7999999474559445e-07
13,0.2,1,-5,200.0,11.0,56,job__12_347228__200_000000__11_0,14518514,271.87985749,79.18482344102179,309.64105749,12.34722792683572,8.176000000048589e-05
14,0.2,1,-5,200.0,11.0,56,job__12_467104__200_000000__11_0,14518515,275.82735034,79.81592787377912,313.58855034,12.46710391000743,0.00013530000001082954
15,0.2,1,-5,200.0,11.0,56,job__12_586980__200_000000__11_0,14518516,275.27754079,80.68745304282494,313.03874079,12.586979965738319,0.0005741500000340238
16,0.2,1,-5,200.0,11.0,56,job__12_706856__200_000000__11_0,14518517,276.21808448,81.46280991735537,313.97928448000005,12.706855923925168,0.001071959999990213
17,0.2,1,-5,200.0,11.0,56,job__12_826732__200_000000__11_0,14518518,270.135002,82.59879789631856,307.896202,12.826731920937846,0.00019829999996545666
18,0.2,1,-5,200.0,11.0,56,job__12_946608__200_000000__11_0,14518519,271.7230043,83.35612321562735,309.4842043,12.94660798183227,4.380000007131457e-06
19,0.2,1,-5,200.0,11.0,56,job__13_066484__200_000000__11_0,14518520,277.2427922,83.87903831705485,315.00399219999997,13.066484006500637,0.0010465299999964373
20,0.2,1,-5,200.0,11.0,56,job__13_186360__200_000000__11_0,14518521,277.27306289,84.72652141247183,315.03426289000004,13.186359966886624,3.086999998913598e-05
21,0.2,1,-5,220.0,11.0,56,job__10_788840__220_000000__11_0,14518522,119.96450245,79.68970698722765,144.89250245,10.788840043144676,8.443999999485641e-05
22,0.2,1,-5,220.0,11.0,56,job__10_908716__220_000000__11_0,14518523,118.78397041,80.68745304282494,143.71197041,10.908716080582742,0.004841029999994362
23,0.2,1,-5,220.0,11.0,56,job__11_028592__220_000000__11_0,14518524,119.47431219,81.53493613824192,144.40231219,11.02859192202126,0.042417780000008065
24,0.2,1,-5,220.0,11.0,56,job__11_148468__220_000000__11_0,14518525,117.51583043,82.65289256198348,142.44383043,11.14846807761037,0.007050179999993134
