,sigma,Pb_d,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,200.0,11.0,56,job__28_800810__200_000000__11_0,14551448,-3.3853978,184.96243425995493,-3.0191977999999997,28.800810132360436,0.0024052000000001073
1,0.2,1,-5,200.0,11.0,56,job__29_120819__200_000000__11_0,14551451,-3.39324013,186.96393688955672,-3.02704013,29.120818939160543,0.0021967400000000303
2,0.2,1,-5,200.0,11.0,56,job__29_440828__200_000000__11_0,14551456,-3.40142121,189.0601051840721,-3.03522121,29.440828149658053,0.001993569999999778
3,0.2,1,-5,200.0,11.0,56,job__29_760837__200_000000__11_0,14551460,-3.41011447,191.20285499624342,-3.04391447,29.76083694084091,0.01555767000000019
4,0.2,1,-5,200.0,11.0,56,job__30_080846__200_000000__11_0,14551464,-3.41201461,193.0961682945154,-3.04581461,30.080846067068347,0.015024540000000197
5,0.2,1,-5,200.0,11.0,56,job__30_400855__200_000000__11_0,14551466,-3.42565696,195.5304282494365,-3.05945696,30.40085492318715,0.014423020000000175
6,0.2,1,-5,200.0,11.0,56,job__30_720864__200_000000__11_0,14551470,-3.42273941,197.24342599549212,-3.05653941,30.720864044920372,0.01400478000000005
7,0.2,1,-5,200.0,11.0,56,job__31_040873__200_000000__11_0,14551474,-3.43461835,199.69571750563486,-3.06841835,31.04087286482069,0.0003693299999998345
8,0.2,1,-5,200.0,11.0,56,job__31_360882__200_000000__11_0,14551478,-3.42568711,201.22839969947407,-3.05948711,31.360881886549734,0.012999830000000046
9,0.2,1,-5,200.0,11.0,56,job__31_680891__200_000000__11_0,14551482,-3.43555424,203.66265965439518,-3.06935424,31.68089116735626,0.01241229999999982
10,0.2,1,-5,200.0,11.0,56,job__32_000900__200_000000__11_0,14551486,-3.42704515,205.30353117956423,-3.06084515,32.000899882353664,0.0004582200000000647
11,0.2,1,-5,200.0,11.0,56,job__32_320909__200_000000__11_0,14551508,-3.4306004,207.54996243425995,-3.0644004,32.32090894216323,0.0004790099999998354
12,0.2,1,-5,200.0,11.0,56,job__32_640918__200_000000__11_0,14551513,-3.43950197,210.05634861006763,-3.0733019699999997,32.640917926556206,0.011023180000000021
