,sigma,Pd_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__13_244371__1200_000000__91_0,14537021,-3.56298679,1250.1456146799703,-3.5609867900000003,13.24437046029828,0.00327396
1,0.2,1,-5,1200.0,91.0,17296,job__13_391530__1200_000000__91_0,14537024,-3.59468713,1264.0269662712603,-3.5926871300000003,13.391530181986628,0.00011435
2,0.2,1,-5,1200.0,91.0,17296,job__13_538690__1200_000000__91_0,14537026,-3.62302875,1277.9335417631517,-3.62102875,13.538689934505385,0.0001167699999999
3,0.2,1,-5,1200.0,91.0,17296,job__13_685850__1200_000000__91_0,14537029,-3.64821479,1291.8227997096492,-3.64621479,13.685849436202153,1.1670000000130187e-05
4,0.2,1,-5,1200.0,91.0,17296,job__13_833009__1200_000000__91_0,14537032,-3.670435,1305.7127822063217,-3.668435,13.83300918337921,1.200000001588819e-07
5,0.2,1,-5,1200.0,91.0,17296,job__13_980169__1200_000000__91_0,14537034,-3.68986447,1319.6057266004132,-3.68786447,13.9801689204886,0.0001227699999999
6,0.2,1,-5,1200.0,91.0,17296,job__14_127329__1200_000000__91_0,14537036,-3.70668147,1333.4976836953651,-3.70468147,14.12732847541981,0.0001245500000002
7,0.2,1,-5,1200.0,91.0,17296,job__14_274488__1200_000000__91_0,14537038,-3.72103808,1347.389696524946,-3.71903808,14.274488187136416,1.4059999999815886e-05
8,0.2,1,-5,1200.0,91.0,17296,job__14_421648__1200_000000__91_0,14537040,-3.73308229,1361.275522810724,-3.73108229,14.421648008066668,0.0001277299999999
9,0.2,1,-5,1200.0,91.0,17296,job__14_568808__1200_000000__91_0,14537043,-3.74295292,1375.1615561108376,-3.74095292,14.56880747181293,0.0001292300000002
10,0.2,1,-5,1200.0,91.0,17296,job__14_715967__1200_000000__91_0,14537046,-3.75077944,1389.0463712112064,-3.74877944,14.71596725,0.0001306999999997
11,0.2,1,-5,1200.0,91.0,17296,job__14_863127__1200_000000__91_0,14537049,-3.75668333,1402.938296457799,-3.75468333,14.863126888469202,1.689999999943126e-06
12,0.2,1,-5,1200.0,91.0,17296,job__15_010287__1200_000000__91_0,14537051,-3.76078005,1416.830349097829,-3.75878005,15.010286592828368,1.759999999961792e-06
13,0.2,1,-5,1200.0,91.0,17296,job__15_157446__1200_000000__91_0,14537052,-3.76317853,1430.710487797434,-3.76117853,15.157446308540692,1.763999999981891e-05
14,0.2,1,-5,1200.0,91.0,17296,job__15_304606__1200_000000__91_0,14537055,-3.76398255,1444.6143880271402,-3.76198255,15.304605929975526,0.0054123699999997
