,sigma,Pt_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,200.0,11.0,56,job__14_075370__200_000000__11_0,14551189,2.93648303,90.53418482344102,22.156783030000003,14.075369968222544,0.00472044000000027
1,0.2,1,-5,200.0,11.0,56,job__14_231763__200_000000__11_0,14551191,2.78120945,91.65214124718257,22.00150945,14.231763074011697,0.0002210499999999449
2,0.2,1,-5,200.0,11.0,56,job__14_388156__200_000000__11_0,14551192,3.17502852,92.31930879038318,22.395328520000003,14.388155910879137,0.005304849999999917
3,0.2,1,-5,200.0,11.0,56,job__14_544549__200_000000__11_0,14551202,3.0119551,93.45529676934636,22.232255100000003,14.544549108870083,0.004991000000000412
4,0.2,1,-5,200.0,11.0,56,job__14_700942__200_000000__11_0,14551205,3.2613079,94.24868519909842,22.4816079,14.700942105541351,0.004346489999999648
5,0.2,1,-5,200.0,11.0,56,job__14_857335__200_000000__11_0,14551208,3.1925012,95.29451540195342,22.4128012,14.857334906763892,0.004332300000000178
6,0.2,1,-5,200.0,11.0,56,job__15_013728__200_000000__11_0,14551211,3.10814564,96.37640871525169,22.32844564,15.013728084698805,0.00021922999999990367
7,0.2,1,-5,200.0,11.0,56,job__15_170121__200_000000__11_0,14551214,2.78360207,97.67468069120962,22.003902070000002,15.170120922697123,3.1809999999854455e-05
8,0.2,1,-5,200.0,11.0,56,job__15_326514__200_000000__11_0,14551216,3.05791164,98.43651389932381,22.278211640000002,15.32651391499211,3.1200000000009e-05
9,0.2,1,-5,200.0,11.0,56,job__15_482907__200_000000__11_0,14551219,2.88712472,99.572501878287,22.10742472,15.482906910314732,0.0001670100000001895
10,0.2,1,-5,200.0,11.0,56,job__15_639300__200_000000__11_0,14551222,2.96827105,100.49812171299774,22.18857105,15.63930001600553,0.005267579999999938
11,0.2,1,-5,200.0,11.0,56,job__15_795693__200_000000__11_0,14551225,2.89353877,101.58001502629602,22.11383877,15.795693112525244,0.0003326200000000057
12,0.2,1,-5,200.0,11.0,56,job__15_952086__200_000000__11_0,14551228,3.18131721,102.31930879038318,22.40161721,15.952086067748468,0.006245589999999801
13,0.2,1,-5,200.0,11.0,56,job__16_108479__200_000000__11_0,14551231,3.04416842,103.43726521412472,22.26446842,16.10847896082863,0.0002735500000001778
14,0.2,1,-5,200.0,11.0,56,job__16_264872__200_000000__11_0,14551233,3.1797902,104.32982719759579,22.4000902,16.26487207288452,0.0051131399999997384
15,0.2,1,-5,200.0,11.0,56,job__16_421265__200_000000__11_0,14551236,2.82199305,105.664162283997,22.04229305,16.421264900949566,0.0035126299999999056
16,0.2,1,-5,200.0,11.0,56,job__16_577658__200_000000__11_0,14551239,3.08618064,106.42148760330579,22.30648064,16.57765808372008,0.00017049999999985133
17,0.2,1,-5,200.0,11.0,56,job__16_734051__200_000000__11_0,14551241,2.77209144,107.70172802404207,21.992391440000002,16.73405095057004,0.0001475600000002686
18,0.2,1,-5,200.0,11.0,56,job__16_890444__200_000000__11_0,14551245,2.74130781,108.72952667167543,21.96160781,16.89044395449491,0.0030343600000000137
19,0.2,1,-5,200.0,11.0,56,job__17_046837__200_000000__11_0,14551247,3.07105138,109.41472577009768,22.291351380000002,17.046836941467845,0.00018806000000015644
20,0.2,1,-5,200.0,11.0,56,job__17_203230__200_000000__11_0,14551250,2.81205924,110.64688204357626,22.03235924,17.203229874204276,1.160000000055561e-06
21,0.2,1,-5,220.0,11.0,56,job__14_075370__220_000000__11_0,14551252,-1.09325222,104.05935386927122,9.50204778,14.075369968222544,8.000000000008e-06
22,0.2,1,-5,220.0,11.0,56,job__14_231763__220_000000__11_0,14551255,-1.24068596,105.37565740045079,9.35461404,14.231763074011697,0.0009456599999999593
23,0.2,1,-5,220.0,11.0,56,job__14_388156__220_000000__11_0,14551257,-1.32837991,106.6198347107438,9.26692009,14.388155910879137,0.0010046699999999298
24,0.2,1,-5,220.0,11.0,56,job__14_544549__220_000000__11_0,14551261,-1.37905526,107.79188580015027,9.21624474,14.544549108870083,6.90600000001762e-05
25,0.2,1,-5,220.0,11.0,56,job__14_700942__220_000000__11_0,14551264,-1.58862168,109.21637866265965,9.00667832,14.700942105541351,0.0009235600000001565
26,0.2,1,-5,220.0,11.0,56,job__14_857335__220_000000__11_0,14551267,-1.37273706,109.99173553719008,9.22256294,14.857334906763892,7.835000000011583e-05
27,0.2,1,-5,220.0,11.0,56,job__15_013728__220_000000__11_0,14551271,-1.49152751,111.28249436513899,9.10377249,15.013728084698805,7.18699999999739e-05
28,0.2,1,-5,220.0,11.0,56,job__15_170121__220_000000__11_0,14551275,-1.44300289,112.32832456799399,9.15229711,15.170120922697123,0.07449178000000001
29,0.2,1,-5,220.0,11.0,56,job__15_326514__220_000000__11_0,14551279,-1.42088478,113.4282494365139,9.17441522,15.32651391499211,0.07365895
30,0.2,1,-5,220.0,11.0,56,job__15_482907__220_000000__11_0,14551282,-1.4427627,114.58226897069872,9.1525373,15.482906910314732,0.07260369999999994
31,0.2,1,-5,220.0,11.0,56,job__15_639300__220_000000__11_0,14551285,-1.56909677,115.89857250187829,9.02620323,15.63930001600553,1.1390000000055522e-05
32,0.2,1,-5,220.0,11.0,56,job__15_795693__220_000000__11_0,14551289,-1.55724146,116.9984973703982,9.03805854,15.795693112525244,0.0021337500000000453
33,0.2,1,-5,220.0,11.0,56,job__15_952086__220_000000__11_0,14551293,-1.64269913,118.26070623591285,8.95260087,15.952086067748468,0.00208746999999998
34,0.2,1,-5,220.0,11.0,56,job__16_108479__220_000000__11_0,14551297,-1.7266383,119.5229151014275,8.8686617,16.10847896082863,0.0019155299999999986
35,0.2,1,-5,220.0,11.0,56,job__16_264872__220_000000__11_0,14551300,-1.71132364,120.6228399699474,8.88397636,16.26487207288452,0.0019263099999999866
36,0.2,1,-5,220.0,11.0,56,job__16_421265__220_000000__11_0,14551304,-1.52797788,121.45229151014274,9.06732212,16.421264900949566,1.8900000000598993e-06
37,0.2,1,-5,220.0,11.0,56,job__16_577658__220_000000__11_0,14551306,-1.56838127,122.67543200601052,9.02691873,16.57765808372008,0.0017412500000000275
38,0.2,1,-5,220.0,11.0,56,job__16_734051__220_000000__11_0,14551311,-1.75644614,124.14049586776859,8.83885386,16.73405095057004,6.59700000000818e-05
39,0.2,1,-5,220.0,11.0,56,job__16_890444__220_000000__11_0,14551315,-1.56371711,124.9519158527423,9.03158289,16.89044395449491,0.0010689600000000077
40,0.2,1,-5,220.0,11.0,56,job__17_046837__220_000000__11_0,14551317,-1.71585635,126.37640871525169,8.87944365,17.046836941467845,0.0013139600000000584
41,0.2,1,-5,220.0,11.0,56,job__17_203230__220_000000__11_0,14551321,-1.70909546,127.54845980465815,8.88620454,17.203229874204276,0.0013823700000001882
42,0.2,1,-5,240.0,11.0,56,job__14_075370__240_000000__11_0,14551325,-4.01367647,118.96393688955672,1.84872353,14.075369968222544,1.704000000035677e-05
43,0.2,1,-5,240.0,11.0,56,job__14_231763__240_000000__11_0,14551327,-4.04456494,120.22614575507137,1.8178350600000002,14.231763074011697,1.8240000000169232e-05
44,0.2,1,-5,240.0,11.0,56,job__14_388156__240_000000__11_0,14551331,-4.03392518,121.39819684447784,1.8284748200000003,14.388155910879137,1.160000000055561e-06
45,0.2,1,-5,240.0,11.0,56,job__14_544549__240_000000__11_0,14551335,-3.98993494,122.49511645379414,1.8724650600000001,14.544549108870083,0.043803889999999956
46,0.2,1,-5,240.0,11.0,56,job__14_700942__240_000000__11_0,14551338,-4.13556808,124.14049586776859,1.7268319200000004,14.700942105541351,1.6260000000656305e-05
47,0.2,1,-5,240.0,11.0,56,job__14_857335__240_000000__11_0,14551341,-4.29392574,125.83546205860256,1.5684742600000003,14.857334906763892,1.653999999984279e-05
48,0.2,1,-5,240.0,11.0,56,job__15_013728__240_000000__11_0,14551344,-4.20236996,126.82719759579264,1.6600300399999997,15.013728084698805,1.8199999999524152e-05
49,0.2,1,-5,240.0,11.0,56,job__15_170121__240_000000__11_0,14551348,-4.19387696,128.07137490608565,1.6685230400000002,15.170120922697123,4.2890000000461725e-05
50,0.2,1,-5,240.0,11.0,56,job__15_326514__240_000000__11_0,14551352,-4.24439334,129.51389932381667,1.6180066599999998,15.32651391499211,1.1799999999340116e-06
51,0.2,1,-5,240.0,11.0,56,job__15_482907__240_000000__11_0,14551355,-4.20013916,130.6679188580015,1.66226084,15.482906910314732,4.8229999999982454e-05
52,0.2,1,-5,240.0,11.0,56,job__15_639300__240_000000__11_0,14551358,-4.10400016,131.67768595041323,1.75839984,15.63930001600553,5.037000000029934e-05
53,0.2,1,-5,240.0,11.0,56,job__15_795693__240_000000__11_0,14551362,-4.25293271,133.480841472577,1.6094672900000004,15.795693112525244,2.5990000000142288e-05
54,0.2,1,-5,240.0,11.0,56,job__15_952086__240_000000__11_0,14551366,-4.16725023,134.55071374906086,1.6951497700000004,15.952086067748468,6.298000000004578e-05
55,0.2,1,-5,240.0,11.0,56,job__16_108479__240_000000__11_0,14551370,-4.20048642,135.97520661157026,1.6619135800000002,16.10847896082863,6.367000000029321e-05
56,0.2,1,-5,240.0,11.0,56,job__16_264872__240_000000__11_0,14551373,-4.25244341,137.48985725018784,1.6099565900000004,16.26487207288452,7.183000000043904e-05
57,0.2,1,-5,240.0,11.0,56,job__16_421265__240_000000__11_0,14551376,-4.18182099,138.6123215627348,1.6805790099999998,16.421264900949566,8.30599999996906e-05
58,0.2,1,-5,240.0,11.0,56,job__16_577658__240_000000__11_0,14551381,-4.16012444,139.91059353869272,1.7022755600000004,16.57765808372008,2.0890000000051145e-05
59,0.2,1,-5,240.0,11.0,56,job__16_734051__240_000000__11_0,14551384,-4.17127802,141.31705484598046,1.6911219800000001,16.73405095057004,7.002999999983217e-05
60,0.2,1,-5,240.0,11.0,56,job__16_890444__240_000000__11_0,14551388,-4.05158049,142.2817430503381,1.81081951,16.89044395449491,0.0005988500000002617
61,0.2,1,-5,240.0,11.0,56,job__17_046837__240_000000__11_0,14551391,-4.14521984,143.97670924117205,1.7171801599999998,17.046836941467845,0.0005846299999996418
62,0.2,1,-5,240.0,11.0,56,job__17_203230__240_000000__11_0,14551395,-4.1097354,145.2389181066867,1.7526646000000001,17.203229874204276,0.000579919999999845
63,0.2,1,-5,260.0,11.0,56,job__14_075370__260_000000__11_0,14551398,-5.01486764,133.82945154019535,-2.03246764,14.075369968222544,1.4109999999512013e-05
64,0.2,1,-5,260.0,11.0,56,job__14_231763__260_000000__11_0,14551399,-5.05227374,135.34410217881293,-2.0698737400000002,14.231763074011697,4.790000000198802e-06
65,0.2,1,-5,260.0,11.0,56,job__14_388156__260_000000__11_0,14551402,-5.13696625,137.1472577009767,-2.1545662500000002,14.388155910879137,4.705999999998767e-05
66,0.2,1,-5,260.0,11.0,56,job__14_544549__260_000000__11_0,14551405,-5.15627391,138.6123215627348,-2.17387391,14.544549108870083,1.2649999999503336e-05
67,0.2,1,-5,260.0,11.0,56,job__14_700942__260_000000__11_0,14551407,-5.14100099,139.91059353869272,-2.15860099,14.700942105541351,3.688000000057201e-05
68,0.2,1,-5,260.0,11.0,56,job__14_857335__260_000000__11_0,14551413,-5.14200174,141.31705484598046,-2.1596017400000003,14.857334906763892,3.6270000000726554e-05
69,0.2,1,-5,260.0,11.0,56,job__15_013728__260_000000__11_0,14551416,-5.15550091,142.80465815176558,-2.1731009099999996,15.013728084698805,1.3070000000503512e-05
70,0.2,1,-5,260.0,11.0,56,job__15_170121__260_000000__11_0,14551420,-5.19654537,144.4815927873779,-2.21414537,15.170120922697123,3.2140000000069335e-05
71,0.2,1,-5,260.0,11.0,56,job__15_326514__260_000000__11_0,14551422,-5.22701296,146.1404958677686,-2.2446129599999995,15.32651391499211,3.109999999928448e-05
72,0.2,1,-5,260.0,11.0,56,job__15_482907__260_000000__11_0,14551425,-5.16688004,147.22839969947407,-2.1844800399999995,15.482906910314732,2.8569999999561446e-05
73,0.2,1,-5,260.0,11.0,56,job__15_639300__260_000000__11_0,14551428,-5.19727352,148.9053343350864,-2.2148735200000003,15.63930001600553,0.026236669999999407
74,0.2,1,-5,260.0,11.0,56,job__15_795693__260_000000__11_0,14551431,-5.1964013,150.3839218632607,-2.2140012999999996,15.795693112525244,3.443999999941383e-05
75,0.2,1,-5,260.0,11.0,56,job__15_952086__260_000000__11_0,14551433,-5.20607484,151.98873027798646,-2.22367484,15.952086067748468,7.65999999963185e-06
76,0.2,1,-5,260.0,11.0,56,job__16_108479__260_000000__11_0,14551436,-5.11657556,152.96243425995493,-2.13417556,16.10847896082863,3.2120000000190885e-05
77,0.2,1,-5,260.0,11.0,56,job__16_264872__260_000000__11_0,14551438,-5.15144647,154.7160030052592,-2.1690464699999996,16.26487207288452,0.02431435000000004
